"Site","Month","Achillea millefolium","Allium cernuum","Asclepias syriaca","Aster novae-angliae","Aster oolentangiensis","Calystegia sepium","Chamaecrista fasciculata","Cirsium arvense","Coreopsis lanceolata","Coreopsis tinctoria","Dandelion ","Daucus carota","Desmodium canadense","Drymocallis arguta","Echinacea paradoxa","Echinacea purpurea","Erigeron annus","Erigeron strigosus","Erigeron strigosus ","Erngium yuccifolium","Eryngium yuccifolium","Fragaria virginiana","Helianthus maximilianii","Heliopsis helianthoides","Hibiscus trinum","Hibiscus trionum","Ipomoea hederacea","Lactuca canadensis","Leucanthemum vulgare","Melilotus alba","Melilotus officinalis","Monarda fistula","Monarda fistulosa","Packera glabella","Penstemon digitalis","Pycanthemum virginianum","Pycnanthemum tenuifolium","Pycnanthemum virginianum","Ratibida pinnata","Rudbeckia hirta","Rudbeckia subtomentosa","Rudbeckia triloba","Senna marilandica","Silphium integrifolium","Solidago canadensis","Solidago juncea","Solidago rigida","Sonchus asper","STAN","Symphyotrichum laeve","Symphyotrichum novae-angliae","Symphyotrichum pilosum","Taraxacum officinale","Tradescantia ohiensis","Tradescantia virginiana","Trifolium pratense","Trifolium repens","Verbena stricta","Verbesina helianthoides","Zizia aurea","NA"
"BEH",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,2,0,0,0,4
"BEH",7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
"BEH",8,0,0,0,0,0,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8
"BEH",9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"GLAZIK",6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16
"GLAZIK",7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"GLAZIK",8,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"GLAZIK",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"GRE21",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"GRE21",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
