"Site","Month","Blooming.Species","n"
"BEH",6,"Erigeron strigosus",1
"BEH",6,"Melilotus officinalis",1
"BEH",6,"Taraxacum officinale",2
"BEH",6,"Trifolium pratense",20
"BEH",6,"Trifolium repens",2
"BEH",6,NA,4
"BEH",7,"Asclepias syriaca",3
"BEH",7,"Erigeron annuus",2
"BEH",7,"Erigeron strigosus",11
"BEH",7,"Melilotus alba",5
"BEH",7,"Monarda fistulosa",1
"BEH",7,"Pycnanthemum virginianum",1
"BEH",7,"Ratibida pinnata",6
"BEH",7,"Rudbeckia hirta",8
"BEH",7,"Trifolium pratense",23
"BEH",8,"Calystegia sepium",2
"BEH",8,"Chamaecrista fasciculata",10
"BEH",8,"Daucus carota",1
"BEH",8,"Melilotus alba",1
"BEH",8,"Ratibida pinnata",5
"BEH",8,"Trifolium pratense",4
"BEH",8,NA,8
"BEH",9,"Chamaecrista fasciculata",2
"BEH",9,"Melilotus alba",1
"BEH",9,"Solidago canadensis",9
"BEH",9,NA,14
"GLAZIK",6,"Coreopsis lanceolata",1
"GLAZIK",6,"Penstemon digitalis",7
"GLAZIK",6,"Taraxacum officinale",1
"GLAZIK",6,NA,16
"GLAZIK",7,"Achillea millefolium",1
"GLAZIK",7,"Asclepias syriaca",1
"GLAZIK",7,"Cirsium arvense",1
"GLAZIK",7,"Echinacea purpurea",1
"GLAZIK",7,"Erigeron strigosus",3
"GLAZIK",7,"Fragaria virginiana",1
"GLAZIK",7,"Monarda fistulosa",5
"GLAZIK",7,"Ratibida pinnata",6
"GLAZIK",7,"Rudbeckia hirta",4
"GLAZIK",7,NA,10
"GLAZIK",8,"Calystegia sepium",1
"GLAZIK",8,"Chamaecrista fasciculata",1
"GLAZIK",8,"Cirsium arvense",1
"GLAZIK",8,"Daucus carota",2
"GLAZIK",8,"Erigeron strigosus",1
"GLAZIK",8,"Lactuca canadensis",1
"GLAZIK",8,"Ratibida pinnata",8
"GLAZIK",8,"Senna marilandica",1
"GLAZIK",8,"Silphium integrifolium",1
"GLAZIK",8,NA,12
"GLAZIK",9,"Helianthus maximilianii",3
"GLAZIK",9,"Solidago canadensis",22
"GLAZIK",9,"Symphyotrichum pilosum",1
"GLAZIK",9,NA,3
"GRE21",6,"Erigeron annuus",1
"GRE21",6,"Melilotus officinalis",1
"GRE21",6,NA,23
"GRE21",7,"Erigeron strigosus",3
"GRE21",7,"Ratibida pinnata",1
"GRE21",7,"Rudbeckia hirta",7
"GRE21",7,NA,15
"GRE21",8,"Chamaecrista fasciculata",7
"GRE21",8,"Ratibida pinnata",1
"GRE21",8,NA,17
"GRE21",9,"Solidago canadensis",25
"GRE21",9,"Symphyotrichum pilosum",1
"GRE29",6,"Leucanthemum vulgare",6
"GRE29",6,"Zizia aurea",2
"GRE29",6,NA,17
"GRE29",7,"Cirsium arvense",16
"GRE29",7,"Erigeron strigosus",7
"GRE29",7,"Ratibida pinnata",5
"GRE29",7,"Rudbeckia hirta",13
"GRE29",7,NA,4
"GRE29",8,"Chamaecrista fasciculata",5
"GRE29",8,"Cirsium arvense",4
"GRE29",8,"Heliopsis helianthoides",1
"GRE29",8,"Ratibida pinnata",3
"GRE29",8,"Rudbeckia hirta",2
"GRE29",8,NA,12
"GRE29",9,"Chamaecrista fasciculata",5
"GRE29",9,"Solidago canadensis",12
